time,flow,dowy,timing_305-335,magnitude_gt1.0,rate_of_change_gt2.0,november_pulse_flow,timing_152-305,magnitude_lt1.0,duration_gt7,dry_season_baseflow,magnitude_gt2.0,frequency_ge1in5yrs,bankfull_flow
1900-07-17,1,198,0,0,0,0,0,0,0,0,0,0,0
1900-07-18,1,199,0,0,0,0,0,0,0,0,0,0,0
1900-07-19,1,200,0,0,0,0,0,0,0,0,0,0,0
1900-07-20,1,201,0,0,0,0,0,0,0,0,0,0,0
1900-07-21,1,202,0,0,0,0,0,0,0,0,0,0,0
1900-07-22,1,203,0,0,0,0,0,0,0,0,0,0,0
1900-07-23,1,204,0,0,0,0,0,0,0,0,0,0,0
1900-07-24,1,205,0,0,0,0,0,0,0,0,0,0,0
1900-07-25,1,206,0,0,0,0,0,0,0,0,0,0,0
1900-07-26,1,207,0,0,0,0,0,0,0,0,0,0,0
1900-07-27,1,208,0,0,0,0,0,0,0,0,0,0,0
1900-07-28,1,209,0,0,0,0,0,0,0,0,0,0,0
1900-07-29,1,210,0,0,0,0,0,0,0,0,0,0,0
1900-07-30,1,211,0,0,0,0,0,0,0,0,0,0,0
1900-07-31,1,212,0,0,0,0,0,0,0,0,0,0,0
1900-08-01,1,213,0,0,0,0,0,0,0,0,0,0,0
1900-08-02,1,214,0,0,0,0,0,0,0,0,0,0,0
1900-08-03,1,215,0,0,0,0,0,0,0,0,0,0,0
1900-08-04,1,216,0,0,0,0,0,0,0,0,0,0,0
1900-08-05,1,217,0,0,0,0,0,0,0,0,0,0,0
1900-08-06,1,218,0,0,0,0,0,0,0,0,0,0,0
1900-08-07,1,219,0,0,0,0,0,0,0,0,0,0,0
1900-08-08,1,220,0,0,0,0,0,0,0,0,0,0,0
1900-08-09,1,221,0,0,0,0,0,0,0,0,0,0,0
1900-08-10,1,222,0,0,0,0,0,0,0,0,0,0,0
1900-08-11,1,223,0,0,0,0,0,0,0,0,0,0,0
1900-08-12,1,224,0,0,0,0,0,0,0,0,0,0,0
1900-08-13,1,225,0,0,0,0,0,0,0,0,0,0,0
1900-08-14,1,226,0,0,0,0,0,0,0,0,0,0,0
1900-08-15,1,227,0,0,0,0,0,0,0,0,0,0,0
1900-08-16,1,228,0,0,0,0,0,0,0,0,0,0,0
1900-08-17,1,229,0,0,0,0,0,0,0,0,0,0,0
1900-08-18,1,230,0,0,0,0,0,0,0,0,0,0,0
1900-08-19,1,231,0,0,0,0,0,0,0,0,0,0,0
1900-08-20,1,232,0,0,0,0,0,0,0,0,0,0,0
1900-08-21,1,233,0,0,0,0,0,0,0,0,0,0,0
1900-08-22,1,234,0,0,0,0,0,0,0,0,0,0,0
1900-08-23,1,235,0,0,0,0,0,0,0,0,0,0,0
1900-08-24,1,236,0,0,0,0,0,0,0,0,0,0,0
1900-08-25,1,237,0,0,0,0,0,0,0,0,0,0,0
1900-08-26,1,238,0,0,0,0,0,0,0,0,0,0,0
1900-08-27,1,239,0,0,0,0,0,0,0,0,0,0,0
1900-08-28,1,240,0,0,0,0,0,0,0,0,0,0,0
1900-08-29,1,241,0,0,0,0,0,0,0,0,0,0,0
1900-08-30,1,242,0,0,0,0,0,0,0,0,0,0,0
1900-08-31,1,243,0,0,0,0,0,0,0,0,0,0,0
1900-09-01,1,244,0,0,0,0,0,0,0,0,0,0,0
1900-09-02,1,245,0,0,0,0,0,0,0,0,0,0,0
1900-09-03,1,246,0,0,0,0,0,0,0,0,0,0,0
1900-09-04,1,247,0,0,0,0,0,0,0,0,0,0,0
1900-09-05,1,248,0,0,0,0,0,0,0,0,0,0,0
1900-09-06,1,249,0,0,0,0,0,0,0,0,0,0,0
1900-09-07,1,250,0,0,0,0,0,0,0,0,0,0,0
1900-09-08,1,251,0,0,0,0,0,0,0,0,0,0,0
1900-09-09,1,252,0,0,0,0,0,0,0,0,0,0,0
1900-09-10,1,253,0,0,0,0,0,0,0,0,0,0,0
1900-09-11,1,254,0,0,0,0,0,0,0,0,0,0,0
1900-09-12,1,255,0,0,0,0,0,0,0,0,0,0,0
1900-09-13,1,256,0,0,0,0,0,0,0,0,0,0,0
1900-09-14,1,257,0,0,0,0,0,0,0,0,0,0,0
1900-09-15,1,258,0,0,0,0,0,0,0,0,0,0,0
1900-09-16,1,259,0,0,0,0,0,0,0,0,0,0,0
1900-09-17,1,260,0,0,0,0,0,0,0,0,0,0,0
1900-09-18,1,261,0,0,0,0,0,0,0,0,0,0,0
1900-09-19,1,262,0,0,0,0,0,0,0,0,0,0,0
1900-09-20,1,263,0,0,0,0,0,0,0,0,0,0,0
1900-09-21,1,264,0,0,0,0,0,0,0,0,0,0,0
1900-09-22,1,265,0,0,0,0,0,0,0,0,0,0,0
1900-09-23,1,266,0,0,0,0,0,0,0,0,0,0,0
1900-09-24,1,267,0,0,0,0,0,0,0,0,0,0,0
1900-09-25,1,268,0,0,0,0,0,0,0,0,0,0,0
1900-09-26,1,269,0,0,0,0,0,0,0,0,0,0,0
1900-09-27,1,270,0,0,0,0,0,0,0,0,0,0,0
1900-09-28,1,271,0,0,0,0,0,0,0,0,0,0,0
1900-09-29,1,272,0,0,0,0,0,0,0,0,0,0,0
1900-09-30,1,273,0,0,0,0,0,0,0,0,0,0,0
1900-10-01,1,274,0,0,0,0,0,0,0,0,0,0,0
1900-10-02,1,275,0,0,0,0,0,0,0,0,0,0,0
1900-10-03,1,276,0,0,0,0,0,0,0,0,0,0,0
1900-10-04,1,277,0,0,0,0,0,0,0,0,0,0,0
1900-10-05,1,278,0,0,0,0,0,0,0,0,0,0,0
1900-10-06,1,279,0,0,0,0,0,0,0,0,0,0,0
1900-10-07,1,280,0,0,0,0,0,0,0,0,0,0,0
1900-10-08,1,281,0,0,0,0,0,0,0,0,0,0,0
1900-10-09,1,282,0,0,0,0,0,0,0,0,0,0,0
1900-10-10,1,283,0,0,0,0,0,0,0,0,0,0,0
1900-10-11,1,284,0,0,0,0,0,0,0,0,0,0,0
1900-10-12,1,285,0,0,0,0,0,0,0,0,0,0,0
1900-10-13,1,286,0,0,0,0,0,0,0,0,0,0,0
1900-10-14,1,287,0,0,0,0,0,0,0,0,0,0,0
1900-10-15,1,288,0,0,0,0,0,0,0,0,0,0,0
1900-10-16,1,289,0,0,0,0,0,0,0,0,0,0,0
1900-10-17,1,290,0,0,0,0,0,0,0,0,0,0,0
1900-10-18,1,291,0,0,0,0,0,0,0,0,0,0,0
1900-10-19,1,292,0,0,0,0,0,0,0,0,0,0,0
1900-10-20,1,293,0,0,0,0,0,0,0,0,0,0,0
1900-10-21,1,294,0,0,0,0,0,0,0,0,0,0,0
1900-10-22,1,295,0,0,0,0,0,0,0,0,0,0,0
1900-10-23,1,296,0,0,0,0,0,0,0,0,0,0,0
1900-10-24,0,297,0,0,0,0,0,1,1,1,0,0,0
1900-10-25,0,298,0,0,0,0,0,1,1,1,0,0,0
1900-10-26,0,299,0,0,0,0,0,1,1,1,0,0,0
1900-10-27,0,300,0,0,0,0,0,1,1,1,0,0,0
1900-10-28,0,301,0,0,0,0,0,1,1,1,0,0,0
1900-10-29,0,302,0,0,0,0,0,1,1,1,0,0,0
1900-10-30,0,303,0,0,0,0,0,1,1,1,0,0,0
1900-10-31,0,304,0,0,0,0,0,1,1,1,0,0,0
1900-11-01,1,305,0,0,0,0,0,0,0,0,0,0,0
1900-11-02,10,306,1,1,1,1,0,0,0,0,1,1,1
1900-11-03,1,307,0,0,0,0,0,0,0,0,0,0,0
1900-11-04,1,308,0,0,0,0,0,0,0,0,0,0,0
1900-11-05,1,309,0,0,0,0,0,0,0,0,0,0,0
1900-11-06,1,310,0,0,0,0,0,0,0,0,0,0,0
1900-11-07,1,311,0,0,0,0,0,0,0,0,0,0,0
1900-11-08,1,312,0,0,0,0,0,0,0,0,0,0,0
1900-11-09,1,313,0,0,0,0,0,0,0,0,0,0,0
1900-11-10,1,314,0,0,0,0,0,0,0,0,0,0,0
1900-11-11,1,315,0,0,0,0,0,0,0,0,0,0,0
1900-11-12,1,316,0,0,0,0,0,0,0,0,0,0,0
1900-11-13,1,317,0,0,0,0,0,0,0,0,0,0,0
1900-11-14,1,318,0,0,0,0,0,0,0,0,0,0,0
1900-11-15,1,319,0,0,0,0,0,0,0,0,0,0,0
1900-11-16,1,320,0,0,0,0,0,0,0,0,0,0,0
1900-11-17,1,321,0,0,0,0,0,0,0,0,0,0,0
1900-11-18,1,322,0,0,0,0,0,0,0,0,0,0,0
1900-11-19,1,323,0,0,0,0,0,0,0,0,0,0,0
1900-11-20,1,324,0,0,0,0,0,0,0,0,0,0,0
1900-11-21,1,325,0,0,0,0,0,0,0,0,0,0,0
1900-11-22,1,326,0,0,0,0,0,0,0,0,0,0,0
1900-11-23,1,327,0,0,0,0,0,0,0,0,0,0,0
1900-11-24,1,328,0,0,0,0,0,0,0,0,0,0,0
1900-11-25,1,329,0,0,0,0,0,0,0,0,0,0,0
1900-11-26,1,330,0,0,0,0,0,0,0,0,0,0,0
1900-11-27,1,331,0,0,0,0,0,0,0,0,0,0,0
1900-11-28,1,332,0,0,0,0,0,0,0,0,0,0,0
1900-11-29,1,333,0,0,0,0,0,0,0,0,0,0,0
1900-11-30,1,334,0,0,0,0,0,0,0,0,0,0,0
1900-12-01,1,335,0,0,0,0,0,0,0,0,0,0,0
1900-12-02,1,336,0,0,0,0,0,0,0,0,0,0,0
1900-12-03,1,337,0,0,0,0,0,0,0,0,0,0,0
1900-12-04,1,338,0,0,0,0,0,0,0,0,0,0,0
1900-12-05,1,339,0,0,0,0,0,0,0,0,0,0,0
1900-12-06,1,340,0,0,0,0,0,0,0,0,0,0,0
1900-12-07,1,341,0,0,0,0,0,0,0,0,0,0,0
1900-12-08,1,342,0,0,0,0,0,0,0,0,0,0,0
1900-12-09,1,343,0,0,0,0,0,0,0,0,0,0,0
1900-12-10,1,344,0,0,0,0,0,0,0,0,0,0,0
1900-12-11,1,345,0,0,0,0,0,0,0,0,0,0,0
1900-12-12,1,346,0,0,0,0,0,0,0,0,0,0,0
1900-12-13,1,347,0,0,0,0,0,0,0,0,0,0,0
1900-12-14,1,348,0,0,0,0,0,0,0,0,0,0,0
1900-12-15,1,349,0,0,0,0,0,0,0,0,0,0,0
1900-12-16,1,350,0,0,0,0,0,0,0,0,0,0,0
1900-12-17,1,351,0,0,0,0,0,0,0,0,0,0,0
1900-12-18,1,352,0,0,0,0,0,0,0,0,0,0,0
1900-12-19,1,353,0,0,0,0,0,0,0,0,0,0,0
1900-12-20,1,354,0,0,0,0,0,0,0,0,0,0,0
1900-12-21,1,355,0,0,0,0,0,0,0,0,0,0,0
1900-12-22,1,356,0,0,0,0,0,0,0,0,0,0,0
1900-12-23,1,357,0,0,0,0,0,0,0,0,0,0,0
1900-12-24,1,358,0,0,0,0,0,0,0,0,0,0,0
1900-12-25,1,359,0,0,0,0,0,0,0,0,0,0,0
1900-12-26,1,360,0,0,0,0,0,0,0,0,0,0,0
1900-12-27,1,361,0,0,0,0,0,0,0,0,0,0,0
1900-12-28,1,362,0,0,0,0,0,0,0,0,0,0,0
1900-12-29,1,363,0,0,0,0,0,0,0,0,0,0,0
1900-12-30,1,364,0,0,0,0,0,0,0,0,0,0,0
1900-12-31,1,365,0,0,0,0,0,0,0,0,0,0,0
